Image Name,Result,Liveness Score
0010\0010_01_05_03_115.jpg,No Error,0.0
0010\0010_01_05_03_121.jpg,No Error,0.8301754502491905
0010\0010_01_05_03_125.jpg,No Error,0.8102985747789472
0010\0010_01_05_03_129.jpg,No Error,0.0
0010\0010_01_05_03_131.jpg,No Error,0.0
0010\0010_01_05_03_132.jpg,No Error,0.0
0010\0010_01_05_03_133.jpg,No Error,0.0
0010\0010_01_05_03_135.jpg,No Error,0.8329022067898992
0010\0010_01_05_03_136.jpg,No Error,0.0
0010\0010_01_05_03_140.jpg,No Error,0.0
0010\0010_01_05_03_141.jpg,No Error,0.8452418641129358
0010\0010_01_05_03_192.jpg,No Error,0.8058170948444823
0010\0010_01_05_03_240.jpg,No Error,0.8682385020998372
0010\0010_01_05_03_241.jpg,No Error,0.8224132623099805
0010\0010_01_05_03_243.jpg,No Error,0.0
0010\0010_01_05_03_244.jpg,No Error,0.0
0010\0010_01_05_03_247.jpg,No Error,0.8308238803525484
0010\0010_01_05_03_254.jpg,No Error,0.8479790271936128
0010\0010_01_05_03_260.jpg,No Error,0.8555243416046909
0010\0010_01_05_03_265.jpg,No Error,0.8527977740966138
0010\0010_01_05_03_266.jpg,No Error,0.8821977073523601
0010\0010_01_05_03_267.jpg,No Error,0.8527780483453924
0010\0010_01_05_03_268.jpg,No Error,0.8846764341475587
0010\0010_01_05_03_269.jpg,No Error,0.8418459245376411
0010\0010_01_05_03_278.jpg,No Error,0.0
0010\0010_01_05_03_281.jpg,No Error,0.0
0010\0010_01_05_03_287.jpg,No Error,0.0
0010\0010_01_05_03_288.jpg,No Error,0.0
0010\0010_01_05_03_290.jpg,No Error,0.0
0010\0010_01_05_03_30.jpg,No Error,0.0
0010\0010_01_05_03_304.jpg,No Error,0.8027298343776442
0010\0010_01_05_03_306.jpg,No Error,0.8254049249188107
0010\0010_01_05_03_308.jpg,No Error,0.8020741899084357
0010\0010_01_05_03_31.jpg,No Error,0.9045650662379202
0010\0010_01_05_03_311.jpg,No Error,0.8472935994649229
0010\0010_01_05_03_314.jpg,No Error,0.8664180857250433
0010\0010_01_05_03_319.jpg,No Error,0.8515855930671118
0010\0010_01_05_03_321.jpg,No Error,0.8648326243025908
0010\0010_01_05_03_322.jpg,No Error,0.860016212449806
0010\0010_01_05_03_323.jpg,No Error,0.8563744907694606
0010\0010_01_05_03_324.jpg,No Error,0.8771932918775379
0010\0010_01_05_03_325.jpg,No Error,0.868827122072304
0010\0010_01_05_03_326.jpg,No Error,0.8627765414597969
