Image,Result,Confidence,Time(ms)
0003_01_00_01_10.jpg,real,0.938169,74
0003_01_00_01_104.jpg,real,0.954578,10
0003_01_00_01_109.jpg,real,0.947116,10
0003_01_00_01_113.jpg,real,0.903904,11
0003_01_00_01_118.jpg,real,0.915039,11
0003_01_00_01_122.jpg,real,0.85609,11
0003_01_00_01_127.jpg,attack,0.656387,12
0003_01_00_01_131.jpg,real,0.911608,15
0003_01_00_01_136.jpg,real,0.858995,12
0003_01_00_01_140.jpg,real,0.951013,14
0003_01_00_01_145.jpg,real,0.943749,13
0003_01_00_01_15.jpg,real,0.887315,19
0003_01_00_01_154.jpg,real,0.950639,15
0003_01_00_01_159.jpg,real,0.952675,14
0003_01_00_01_163.jpg,real,0.9449,17
0003_01_00_01_168.jpg,real,0.930721,13
0003_01_00_01_172.jpg,real,0.907521,10
0003_01_00_01_177.jpg,real,0.900107,14
0003_01_00_01_181.jpg,real,0.923449,14
0003_01_00_01_186.jpg,real,0.928496,14
0003_01_00_01_190.jpg,real,0.941527,12
0003_01_00_01_195.jpg,real,0.938354,13
0003_01_00_01_20.jpg,real,0.921778,11
0003_01_00_01_204.jpg,real,0.955908,15
0003_01_00_01_209.jpg,real,0.916489,13
0003_01_00_01_213.jpg,real,0.950956,14
0003_01_00_01_218.jpg,real,0.900504,13
0003_01_00_01_222.jpg,real,0.923915,12
0003_01_00_01_227.jpg,real,0.922378,12
0003_01_00_01_231.jpg,real,0.954984,11
0003_01_00_01_236.jpg,real,0.942456,10
0003_01_00_01_240.jpg,real,0.941598,12
0003_01_00_01_245.jpg,real,0.953603,11
0003_01_00_01_25.jpg,real,0.916102,11
0003_01_00_01_254.jpg,real,0.910117,12
0003_01_00_01_259.jpg,real,0.910051,12
0003_01_00_01_263.jpg,real,0.873911,13
0003_01_00_01_268.jpg,real,0.872964,14
0003_01_00_01_272.jpg,real,0.876699,12
0003_01_00_01_277.jpg,real,0.93019,12
0003_01_00_01_281.jpg,real,0.947566,12
0003_01_00_01_286.jpg,real,0.956656,12
0003_01_00_01_290.jpg,real,0.952555,12
0003_01_00_01_295.jpg,real,0.956369,12
0003_01_00_01_30.jpg,attack,0.667437,12
0003_01_00_01_304.jpg,real,0.953989,12
0003_01_00_01_309.jpg,real,0.954902,11
0003_01_00_01_313.jpg,real,0.955093,11
0003_01_00_01_318.jpg,real,0.940535,12
0003_01_00_01_322.jpg,real,0.820065,9
0003_01_00_01_327.jpg,real,0.944924,11
0003_01_00_01_331.jpg,real,0.935174,11
0003_01_00_01_336.jpg,real,0.926133,13
0003_01_00_01_340.jpg,real,0.938007,14
0003_01_00_01_345.jpg,attack,0.768902,13
0003_01_00_01_35.jpg,real,0.936756,12
0003_01_00_01_354.jpg,real,0.925174,13
0003_01_00_01_359.jpg,real,0.915513,14
0003_01_00_01_363.jpg,real,0.903033,13
0003_01_00_01_368.jpg,real,0.820518,12
0003_01_00_01_372.jpg,attack,0.540891,13
0003_01_00_01_377.jpg,real,0.907503,11
0003_01_00_01_381.jpg,real,0.91054,12
0003_01_00_01_386.jpg,real,0.896971,14
0003_01_00_01_390.jpg,real,0.848338,12
0003_01_00_01_395.jpg,real,0.898372,12
0003_01_00_01_40.jpg,real,0.956484,11
0003_01_00_01_404.jpg,real,0.833639,10
0003_01_00_01_409.jpg,real,0.942043,11
0003_01_00_01_413.jpg,real,0.929365,11
0003_01_00_01_418.jpg,attack,0.712683,11
0003_01_00_01_422.jpg,attack,0.619747,12
0003_01_00_01_427.jpg,real,0.902038,12
0003_01_00_01_431.jpg,attack,0.736011,12
0003_01_00_01_436.jpg,attack,0.795428,12
0003_01_00_01_440.jpg,attack,0.787358,12
0003_01_00_01_445.jpg,attack,0.765329,13
0003_01_00_01_45.jpg,real,0.949329,10
0003_01_00_01_454.jpg,real,0.803735,10
0003_01_00_01_459.jpg,attack,0.786063,10
0003_01_00_01_463.jpg,real,0.831517,10
0003_01_00_01_468.jpg,real,0.875054,10
0003_01_00_01_472.jpg,real,0.882291,10
0003_01_00_01_477.jpg,real,0.87574,10
0003_01_00_01_481.jpg,attack,0.769733,10
0003_01_00_01_486.jpg,real,0.896414,10
0003_01_00_01_490.jpg,attack,0.593512,9
